Name                                                    Stmts   Miss  Cover
---------------------------------------------------------------------------
src/msb_v3/__init__.py                                      2      0   100%
src/msb_v3/__main__.py                                     31     31     0%
src/msb_v3/agent/bridge_provider.py                        92     13    86%
src/msb_v3/agent/contract.py                               39      2    95%
src/msb_v3/agent/dag.py                                    61      2    97%
src/msb_v3/agent/execution_loop.py                        408     82    80%
src/msb_v3/agent/executor.py                              108      7    94%
src/msb_v3/agent/handle.py                                337     28    92%
src/msb_v3/agent/identity.py                              103      5    95%
src/msb_v3/agent/intent.py                                109      7    94%
src/msb_v3/agent/paseo/__init__.py                          4      0   100%
src/msb_v3/agent/paseo/adapter.py                         158     21    87%
src/msb_v3/agent/paseo/client.py                          101     15    85%
src/msb_v3/agent/paseo/permissions.py                      63     11    83%
src/msb_v3/agent/planner.py                                90     10    89%
src/msb_v3/agent/providers.py                             316     27    91%
src/msb_v3/agent/safety.py                                111      4    96%
src/msb_v3/agent/trace.py                                  68      0   100%
src/msb_v3/agent/verify.py                                 79      1    99%
src/msb_v3/api/agent.py                                   212     50    76%
src/msb_v3/api/app.py                                     148     26    82%
src/msb_v3/api/auth.py                                     31      1    97%
src/msb_v3/api/automation.py                               31      1    97%
src/msb_v3/api/chat.py                                     75      2    97%
src/msb_v3/api/codegraph.py                                73      9    88%
src/msb_v3/api/console.py                                   9      0   100%
src/msb_v3/api/context.py                                  18      4    78%
src/msb_v3/api/conversation.py                             95     29    69%
src/msb_v3/api/cron.py                                    147     29    80%
src/msb_v3/api/dashboard.py                               212     42    80%
src/msb_v3/api/evolution.py                                49     25    49%
src/msb_v3/api/factory.py                                  44     12    73%
src/msb_v3/api/flywheel.py                                 67     11    84%
src/msb_v3/api/governance.py                              113     13    88%
src/msb_v3/api/graph.py                                   101      4    96%
src/msb_v3/api/health.py                                   52     31    40%
src/msb_v3/api/home.py                                     84     18    79%
src/msb_v3/api/hook.py                                     31      4    87%
src/msb_v3/api/knowledge.py                                45     22    51%
src/msb_v3/api/mcp_bridge.py                              408     90    78%
src/msb_v3/api/memory.py                                   30      0   100%
src/msb_v3/api/memory_fabric.py                           100     10    90%
src/msb_v3/api/metrics.py                                  13      0   100%
src/msb_v3/api/models.py                                   37      1    97%
src/msb_v3/api/moie.py                                     28      1    96%
src/msb_v3/api/notify.py                                   41     28    32%
src/msb_v3/api/openai_compat.py                           139      4    97%
src/msb_v3/api/rag.py                                     127      9    93%
src/msb_v3/api/research.py                                296    219    26%
src/msb_v3/api/safety.py                                   35     11    69%
src/msb_v3/api/skill_router.py                             59     22    63%
src/msb_v3/api/smi.py                                      36      0   100%
src/msb_v3/api/studio.py                                   14      0   100%
src/msb_v3/api/system.py                                  194     67    65%
src/msb_v3/api/tenants.py                                  64     19    70%
src/msb_v3/api/triumvirate.py                             151     55    64%
src/msb_v3/api/wake.py                                     37      4    89%
src/msb_v3/api/workflow.py                                 67      7    90%
src/msb_v3/automation/__init__.py                           4      0   100%
src/msb_v3/automation/audit.py                             61      7    89%
src/msb_v3/automation/brain.py                            111     12    89%
src/msb_v3/automation/budget.py                            54      1    98%
src/msb_v3/automation/clients.py                          117      7    94%
src/msb_v3/automation/dispatcher.py                        88     13    85%
src/msb_v3/automation/manifest.py                          50      5    90%
src/msb_v3/automation/recipes.py                           37      0   100%
src/msb_v3/automation/state.py                             75      8    89%
src/msb_v3/business/registry.py                            66      9    86%
src/msb_v3/codegraph/__init__.py                            4      0   100%
src/msb_v3/codegraph/indexer.py                            86      8    91%
src/msb_v3/codegraph/parser.py                            217      8    96%
src/msb_v3/codegraph/queries.py                            92      1    99%
src/msb_v3/codegraph/schema.py                              4      0   100%
src/msb_v3/codegraph/store.py                              79      8    90%
src/msb_v3/conversation/__init__.py                         0      0   100%
src/msb_v3/conversation/envelope.py                       175      4    98%
src/msb_v3/conversation/executor.py                       287     19    93%
src/msb_v3/conversation/producer.py                       292     31    89%
src/msb_v3/conversation/task_contract.py                  270     26    90%
src/msb_v3/conversation/task_producer.py                  215     12    94%
src/msb_v3/core/calibration.py                             68      6    91%
src/msb_v3/core/config.py                                 104      0   100%
src/msb_v3/core/container.py                               98      9    91%
src/msb_v3/core/event_bus.py                               44      0   100%
src/msb_v3/core/guard_config.py                            16      0   100%
src/msb_v3/core/identity.py                                12      1    92%
src/msb_v3/core/logging.py                                 41      0   100%
src/msb_v3/core/rate_limit.py                              54      0   100%
src/msb_v3/cron/__init__.py                                 4      0   100%
src/msb_v3/cron/__main__.py                               100    100     0%
src/msb_v3/cron/actions.py                                308     55    82%
src/msb_v3/cron/parser.py                                  89      4    96%
src/msb_v3/cron/scheduler.py                              151     22    85%
src/msb_v3/cron/store.py                                  144     13    91%
src/msb_v3/db/migrations.py                                90      7    92%
src/msb_v3/db/sqlite.py                                    39     11    72%
src/msb_v3/device/client.py                               271     72    73%
src/msb_v3/energy_matrix/__init__.py                        0      0   100%
src/msb_v3/energy_matrix/models.py                         37      0   100%
src/msb_v3/energy_matrix/scheduler.py                      55      1    98%
src/msb_v3/energy_matrix/telemetry.py                      32      3    91%
src/msb_v3/evidence/__init__.py                             0      0   100%
src/msb_v3/evidence/receipt.py                             85      5    94%
src/msb_v3/evidence/spine.py                              133      3    98%
src/msb_v3/fabric/__init__.py                               4      0   100%
src/msb_v3/fabric/context.py                               86      4    95%
src/msb_v3/fabric/context_engine.py                       234     47    80%
src/msb_v3/fabric/model_router.py                          35      0   100%
src/msb_v3/fabric/retrieval_router.py                      33      0   100%
src/msb_v3/factory/__init__.py                              4      0   100%
src/msb_v3/factory/builders.py                             93     17    82%
src/msb_v3/factory/classifier.py                           49     16    67%
src/msb_v3/factory/models.py                              101      0   100%
src/msb_v3/factory/pipeline.py                            117     27    77%
src/msb_v3/factory/planner.py                              28      3    89%
src/msb_v3/factory/reviewer.py                             95     15    84%
src/msb_v3/factory/test_runner.py                          57     11    81%
src/msb_v3/factory/verifier.py                             62      7    89%
src/msb_v3/flywheel/__init__.py                             3      0   100%
src/msb_v3/flywheel/__main__.py                            22     22     0%
src/msb_v3/flywheel/chargers.py                            60      6    90%
src/msb_v3/flywheel/cli.py                                101     60    41%
src/msb_v3/flywheel/engine.py                             319     54    83%
src/msb_v3/flywheel/health_bridge.py                       80     15    81%
src/msb_v3/flywheel/models.py                              26      0   100%
src/msb_v3/gateway/__init__.py                              3      0   100%
src/msb_v3/gateway/route.py                                51      0   100%
src/msb_v3/governance/__init__.py                           6      0   100%
src/msb_v3/governance/__main__.py                           5      5     0%
src/msb_v3/governance/approval.py                          97      2    98%
src/msb_v3/governance/budget.py                            69      1    99%
src/msb_v3/governance/capability_registry.py               77      2    97%
src/msb_v3/governance/capability_resolver.py               69      2    97%
src/msb_v3/governance/cli.py                              111      8    93%
src/msb_v3/governance/db.py                                 5      0   100%
src/msb_v3/governance/decision.py                         118      6    95%
src/msb_v3/governance/governor.py                          62      0   100%
src/msb_v3/governance/guard.py                             51      0   100%
src/msb_v3/governance/killswitch.py                       110      9    92%
src/msb_v3/governance/shadow.py                           138     11    92%
src/msb_v3/governance/tool_manifest.py                     60      5    92%
src/msb_v3/guardian/__init__.py                             3      0   100%
src/msb_v3/guardian/__main__.py                             4      4     0%
src/msb_v3/guardian/config.py                              44      0   100%
src/msb_v3/guardian/forensics.py                          196     24    88%
src/msb_v3/guardian/kpi.py                                 40      3    92%
src/msb_v3/guardian/ledger.py                              59      9    85%
src/msb_v3/guardian/reasoning.py                          111     38    66%
src/msb_v3/guardian/run.py                                 98     17    83%
src/msb_v3/guardrails/fold.py                              68      7    90%
src/msb_v3/harnesses/base.py                               70      3    96%
src/msb_v3/harnesses/research_assistant.py                128     26    80%
src/msb_v3/infrastructure/__init__.py                       0      0   100%
src/msb_v3/infrastructure/qdrant_contract.py               44      2    95%
src/msb_v3/integrations/openbot.py                         76      9    88%
src/msb_v3/local_ai/anthropic.py                          163     21    87%
src/msb_v3/local_ai/client_factory.py                      13      0   100%
src/msb_v3/local_ai/llama_client.py                        83     50    40%
src/msb_v3/local_ai/ollama.py                             110     19    83%
src/msb_v3/memory/store.py                                 47      9    81%
src/msb_v3/memory_fabric/__init__.py                        4      0   100%
src/msb_v3/memory_fabric/fabric.py                        171     15    91%
src/msb_v3/memory_fabric/models.py                         49      1    98%
src/msb_v3/memory_fabric/store.py                         112      9    92%
src/msb_v3/meta/__init__.py                                 9      0   100%
src/msb_v3/meta/adaptive/__init__.py                        2      0   100%
src/msb_v3/meta/adaptive/optimizer.py                     182      7    96%
src/msb_v3/meta/benchmark/__init__.py                     128     10    92%
src/msb_v3/meta/contracts.py                              129      0   100%
src/msb_v3/meta/failure/__init__.py                         4      0   100%
src/msb_v3/meta/failure/classifier.py                      61      8    87%
src/msb_v3/meta/failure/escalation.py                      64     19    70%
src/msb_v3/meta/failure/repair.py                          78     19    76%
src/msb_v3/meta/loop.py                                    55      0   100%
src/msb_v3/meta/outcome/__init__.py                         2      0   100%
src/msb_v3/meta/outcome/ledger.py                         117      3    97%
src/msb_v3/meta/pipeline.py                               145      6    96%
src/msb_v3/meta/policy/__init__.py                          3      0   100%
src/msb_v3/meta/policy/execution_policy.py                 64      0   100%
src/msb_v3/meta/policy/policy_router.py                    83      2    98%
src/msb_v3/meta/probability/__init__.py                     3      0   100%
