WARNING:pip_audit._cli:--no-deps is supported, but users are encouraged to fully hash their pinned dependencies
WARNING:pip_audit._cli:Consider using a tool like `pip-compile`: https://pip-tools.readthedocs.io/en/latest/#using-hashes
Found 428 known vulnerabilities in 49 packages
Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
accelerate       1.12.0  PYSEC-2026-3804
aiohttp          3.14.1  PYSEC-2026-3547     3.14.2
aiohttp          3.14.1  PYSEC-2026-3546     3.14.2
aiohttp          3.14.1  PYSEC-2026-3545     3.14.3
aiohttp          3.14.1  PYSEC-2026-3545     3.14.3
aiohttp          3.14.1  PYSEC-2026-3546     3.14.2
aiohttp          3.14.1  PYSEC-2026-3547     3.14.2
authlib          1.6.6   PYSEC-2026-2118     1.6.7
authlib          1.6.6   PYSEC-2026-287      1.6.9
authlib          1.6.6   PYSEC-2026-2116     1.6.9
authlib          1.6.6   PYSEC-2026-25       1.6.11
authlib          1.6.6   PYSEC-2026-25       1.6.11
authlib          1.6.6   PYSEC-2026-188      1.6.12
authlib          1.6.6   PYSEC-2026-287      1.6.9
authlib          1.6.6   PYSEC-2026-2117     1.6.9
authlib          1.6.6   PYSEC-2026-2116     1.6.9
authlib          1.6.6   PYSEC-2026-2119     1.6.10
authlib          1.6.6   PYSEC-2026-2118     1.6.7
azure-core       1.37.0  PYSEC-2026-1208     1.38.0
azure-core       1.37.0  PYSEC-2026-1208     1.38.0
banks            2.2.0   PYSEC-2026-2390     2.4.2
banks            2.2.0   PYSEC-2026-2390     2.4.2
banks            2.2.0   PYSEC-2026-3810     2.4.5
black            25.12.0 PYSEC-2026-2121     26.3.1
black            25.12.0 PYSEC-2026-2121     26.3.1
black            25.12.0 PYSEC-2026-2120     26.3.0
chromadb         1.4.0   PYSEC-2026-311
chromadb         1.4.0   PYSEC-2026-311
chromadb         1.4.0   PYSEC-2026-3814
chromadb         1.4.0   PYSEC-2026-3815
chromadb         1.4.0   PYSEC-2026-3813
crawl4ai         0.4.247 PYSEC-2026-1281
crawl4ai         0.4.247 PYSEC-2026-33       0.8.0
crawl4ai         0.4.247 PYSEC-2026-229      0.8.7
crawl4ai         0.4.247 PYSEC-2026-33       0.8.0
crawl4ai         0.4.247 PYSEC-2026-34       0.8.0
crawl4ai         0.4.247 PYSEC-2026-319      0.8.7
crawl4ai         0.4.247 PYSEC-2026-229      0.8.7
crawl4ai         0.4.247 PYSEC-2026-3448     0.8.8
crawl4ai         0.4.247 PYSEC-2026-587      0.8.8
crawl4ai         0.4.247 PYSEC-2026-228      0.8.8
crawl4ai         0.4.247 PYSEC-2026-588      0.8.9
crawl4ai         0.4.247 PYSEC-2026-2139     0.9.0
crawl4ai         0.4.247 PYSEC-2026-2138     0.9.0
crawl4ai         0.4.247 PYSEC-2026-2140     0.9.0
crawl4ai         0.4.247 PYSEC-2026-229      0.8.7
crawl4ai         0.4.247 PYSEC-2026-228      0.8.8
crawl4ai         0.4.247 PYSEC-2026-230      0.8.7
crawl4ai         0.4.247 PYSEC-2026-239      0.8.7
crawl4ai         0.4.247 PYSEC-2026-319      0.8.7
crawl4ai         0.4.247 PYSEC-2026-588      0.8.9
crawl4ai         0.4.247 PYSEC-2026-587      0.8.8
crawl4ai         0.4.247 PYSEC-2026-596      0.8.7
crawl4ai         0.4.247 PYSEC-2026-798      0.8.7
crawl4ai         0.4.247 PYSEC-2026-1281
crawl4ai         0.4.247 PYSEC-2026-2138     0.9.0
crawl4ai         0.4.247 PYSEC-2026-2140     0.9.0
crawl4ai         0.4.247 PYSEC-2026-2139     0.9.0
crawl4ai         0.4.247 PYSEC-2026-3443     0.8.7
crawl4ai         0.4.247 PYSEC-2026-3448     0.8.8
